# TIA-102.BABA-A annex_p_prba24_codebook.csv — Half-Rate PRBA24 Vector Quantizer Levels
# Source: TIA-102.BABA-A PDF, pages 131-136 (Annex P)
# Extracted from pdftotext -layout output with verification: count=512 (PASS)
b3,G2,G3,G4
59,-0.115434,-0.375008,-0.059939
60,-0.777425,-0.592163,-0.107585
61,-0.950500,-0.893847,-0.181762
62,-0.259402,-0.396726,0.010357
63,-0.368905,-0.449026,0.038299
64,0.279719,-0.063196,-0.184628
65,0.255265,-0.067248,-0.121124
66,0.458433,-0.103777,0.010074
67,0.437231,-0.092496,-0.031028
68,0.082265,-0.028050,-0.041262
69,0.045920,-0.051719,-0.030155
70,0.271149,-0.043613,0.112085
71,0.246881,-0.065274,0.105436
72,0.056590,-0.117773,-0.142283
73,0.058824,-0.104418,-0.099608
74,0.213781,-0.111974,0.031269
75,0.187554,-0.070340,0.011834
76,-0.185701,-0.081106,-0.073803
77,-0.266112,-0.074133,-0.085370
78,-0.029368,-0.046490,0.124679
79,-0.017378,-0.102882,0.140482
80,0.114700,0.092738,-0.244271
81,0.072922,0.007863,-0.231476
82,0.270022,0.031819,-0.094208
83,0.254403,0.024805,-0.050389
84,-0.182905,0.021629,-0.168481
85,-0.225864,-0.010109,-0.130374
86,0.040089,0.013969,0.016028
87,0.001442,0.010551,0.032942
88,-0.287472,-0.036130,-0.296798
89,-0.332344,-0.108862,-0.342196
90,0.012700,0.022917,-0.052501
91,-0.040681,-0.001805,-0.050548
92,-0.718522,-0.061234,-0.278820
93,-0.879205,-0.213588,-0.303508
94,-0.234102,-0.065407,0.013686
95,-0.281223,-0.076139,0.046830
96,0.141967,-0.193679,-0.055697
97,0.100318,-0.161222,-0.063062
98,0.265859,-0.132747,0.078209
99,0.244805,-0.139776,0.122123
100,-0.121802,-0.179976,0.031732
101,-0.185318,-0.214011,0.018117
102,0.047014,-0.153961,0.218068
103,0.047305,-0.187402,0.282114
104,-0.027533,-0.415868,-0.333841
105,-0.125886,-0.334492,-0.290317
106,-0.030602,-0.190918,0.097454
107,-0.054936,-0.209948,0.158977
108,-0.507223,-0.295876,-0.217183
109,-0.581733,-0.403194,-0.208936
110,-0.299719,-0.289679,0.297101
111,-0.363169,-0.362718,0.436529
112,-0.124627,-0.042100,-0.157011
113,-0.161571,-0.092846,-0.183636
114,0.084520,-0.100217,-0.000901
115,0.055655,-0.136381,0.032764
116,-0.545087,-0.197713,-0.026888
117,-0.662772,-0.179815,0.026419
118,-0.165583,-0.148913,0.090382
119,-0.240772,-0.182830,0.105474
120,-0.576315,-0.359473,-0.456844
121,-0.713430,-0.554156,-0.476739
122,-0.275628,-0.223640,-0.051584
123,-0.359501,-0.230758,-0.027006
124,-1.282559,-0.284807,-0.233743
125,-1.060476,-0.399911,-0.562698
126,-0.871952,-0.272197,0.016126
127,-0.747922,-0.329404,0.276696
128,0.643086,0.046175,-0.660078
129,0.738204,-0.127844,-0.433708
130,1.158072,0.025571,-0.177856
131,0.974840,-0.009417,-0.112337
132,0.418014,0.032741,-0.124545
133,0.381422,-0.001557,-0.085504
134,0.768280,0.056085,0.095375
135,0.680004,0.052035,0.152318
136,0.473182,0.012560,-0.264221
137,0.345153,0.036627,-0.248756
138,0.746238,-0.025880,-0.106050
139,0.644319,-0.058256,-0.095133
140,0.185924,-0.022230,-0.070540
141,0.146068,-0.009550,-0.057871
142,0.338488,0.013022,0.069961
143,0.298969,0.047403,0.052598
144,0.346002,0.256253,-0.380261
145,0.313092,0.163821,-0.314004
146,0.719154,0.103108,-0.252648
147,0.621429,0.172423,-0.265180
148,0.240461,0.104684,-0.202582
149,0.206946,0.139642,-0.138016
150,0.359915,0.101273,-0.052997
151,0.318117,0.125888,-0.003486
152,0.150452,0.050219,-0.409155
153,0.188753,0.091894,-0.325733
154,0.334922,0.029098,-0.098587
155,0.324508,0.015809,-0.135408
156,-0.042506,0.038667,-0.208535
157,-0.083003,0.094758,-0.174054
158,0.094773,0.102653,-0.025701
159,0.063284,0.118703,-0.000071
160,0.355965,-0.139239,-0.191705
161,0.392742,-0.105496,-0.132103
162,0.663678,-0.204627,-0.031242
163,0.609381,-0.146914,0.079610
164,0.151855,-0.132843,-0.007125
165,0.146404,-0.161917,0.024842
166,0.400524,-0.135221,0.232289
167,0.324931,-0.116605,0.253458
168,0.169066,-0.215132,-0.185604
169,0.128681,-0.189394,-0.160279
170,0.356194,-0.116992,-0.038381
171,0.342866,-0.144687,0.020265
172,-0.065545,-0.202593,-0.043688
173,-0.124296,-0.260225,-0.035370
174,0.083224,-0.235149,0.153301
175,0.046256,-0.309608,0.190944
176,0.187385,-0.008168,-0.198575
177,0.190401,-0.018699,-0.136858
178,0.398009,-0.025700,-0.007458
179,0.346948,-0.022258,-0.020905
180,-0.047064,-0.085629,-0.080677
181,-0.067523,-0.128972,-0.119538
182,0.186086,-0.016828,0.070014
183,0.187364,0.017133,0.075949
184,-0.112669,-0.037433,-0.298944
185,-0.068276,-0.114504,-0.265795
186,0.147510,-0.040616,-0.013687
187,0.133084,-0.062849,-0.032637
188,-0.416571,-0.041544,-0.125088
189,-0.505337,-0.044193,-0.157651
190,-0.154132,-0.075106,0.050466
191,-0.148036,-0.059719,0.121516
192,0.490555,0.157659,-0.222208
193,0.436700,0.120500,-0.205869
194,0.754525,0.269323,0.045810
195,0.645077,0.271923,0.013942
196,0.237023,0.115337,-0.026429
197,0.204895,0.121020,-0.008541
198,0.383999,0.153963,0.171763
199,0.385026,0.222074,0.239731
200,0.198232,0.072972,-0.108179
201,0.147882,0.074743,-0.123341
202,0.390929,0.075205,0.081828
203,0.341623,0.089405,0.069389
204,-0.003381,0.159694,-0.016026
205,-0.043653,0.206860,-0.040729
206,0.135515,0.107824,0.179310
207,0.081086,0.119673,0.174282
208,0.192637,0.400335,-0.341906
209,0.171196,0.284921,-0.221516
210,0.377807,0.359087,-0.151523
211,0.411052,0.297925,-0.099774
212,-0.010060,0.261887,-0.149567
213,-0.107877,0.287756,-0.116982
214,0.158003,0.209727,0.077988
215,0.109710,0.232272,0.088135
216,0.000698,0.209353,-0.395208
217,-0.094015,0.230322,-0.279928
218,0.137355,0.230881,-0.124115
219,0.103058,0.166855,-0.100386
220,-0.305058,0.305422,-0.176026
221,-0.422049,0.337137,-0.293297
222,-0.121744,0.185124,0.048115
223,-0.171052,0.200312,0.052812
224,0.224091,-0.010673,-0.019727
225,0.200266,-0.020167,0.001798
226,0.382742,0.032362,0.161665
227,0.345631,-0.019705,0.164451
228,0.029431,0.045010,0.071518
229,0.031940,0.010876,0.087037
230,0.181935,0.039112,0.202316
231,0.181810,0.033189,0.253435
232,-0.008677,-0.066679,-0.144737
233,-0.021768,-0.021288,-0.125903
234,0.136766,0.000100,0.059449
235,0.135405,-0.020446,0.103793
236,-0.289115,0.039747,-0.012256
237,-0.338683,0.025909,-0.034058
238,-0.016515,0.048584,0.197981
239,-0.046790,0.011816,0.199964
240,0.094214,0.127422,-0.169936
241,0.048279,0.096189,-0.148153
242,0.217391,0.081732,0.013677
243,0.179656,0.084671,0.031434
244,-0.227367,0.118176,-0.039803
245,-0.327096,0.159747,-0.018931
246,0.000834,0.113118,0.125325
247,-0.014617,0.128924,0.163776
248,-0.254570,0.154329,-0.232018
249,-0.353068,0.124341,-0.174409
250,-0.061004,0.107744,0.037257
251,-0.100991,0.080302,0.062701
252,-0.927022,0.285660,-0.240549
253,-1.153224,0.277232,-0.322538
254,-0.569012,0.108135,0.172634
255,-0.555273,0.131461,0.325930
256,0.518847,0.065683,-0.132877
257,0.501324,-0.006585,-0.094884
258,1.066190,-0.150380,0.201791
259,0.858377,-0.166415,0.081686
260,0.320584,-0.031499,0.039534
261,0.311442,-0.075120,0.026013
262,0.625829,-0.019856,0.346041
263,0.525271,-0.003948,0.284868
264,0.312594,-0.075673,-0.066642
265,0.295732,-0.057895,-0.042207
266,0.550446,-0.029110,0.046850
267,0.465467,-0.068987,0.096167
268,0.122669,-0.051786,0.044283
269,0.079669,-0.044145,0.045805
270,0.238778,-0.031835,0.171694
271,0.200734,-0.072619,0.178726
272,0.342512,0.131270,-0.163021
273,0.294028,0.111759,-0.125793
274,0.589523,0.121808,-0.049372
275,0.550506,0.132318,0.017485
276,0.164280,0.047560,-0.058383
277,0.120110,0.049242,-0.052403
278,0.269181,0.035000,0.103494
279,0.297466,0.038517,0.139289
280,0.094549,-0.030880,-0.153376
281,0.080363,0.024359,-0.127578
282,0.281351,0.055178,0.000155
283,0.234900,0.039477,0.013957
284,-0.118161,0.011976,-0.034270
285,-0.157654,0.027765,-0.005010
286,0.102631,0.027283,0.099723
287,0.077285,0.052532,0.115583
288,0.329398,-0.278552,0.016316
289,0.305993,-0.267896,0.094952
290,0.775270,-0.394995,0.290748
291,0.583180,-0.252159,0.285391
292,0.192226,-0.182242,0.126859
293,0.185908,-0.245779,0.159940
294,0.346293,-0.250404,0.355682
295,0.354160,-0.364521,0.472337
296,0.134942,-0.313666,-0.115181
297,0.126077,-0.286568,-0.039927
298,0.405618,-0.211792,0.199095
299,0.312099,-0.213642,0.190972
300,-0.071392,-0.297366,0.081426
301,-0.165839,-0.301986,0.160640
302,0.147808,-0.290712,0.298198
303,0.063302,-0.310149,0.396302
304,0.141444,-0.081377,-0.076621
305,0.115936,-0.104440,-0.039885
306,0.367023,-0.087281,0.096390
307,0.330038,-0.117958,0.127050
308,0.002897,-0.062454,0.025151
309,-0.052404,-0.082200,0.041975
310,0.181553,-0.137004,0.230489
311,0.140768,-0.094604,0.265928
312,-0.101763,-0.209566,-0.135964
313,-0.159056,-0.191005,-0.095509
314,0.045016,-0.081562,0.075942
315,0.016808,-0.112482,0.068593
316,-0.408578,-0.132377,0.079163
317,-0.431534,-0.214646,0.157714
318,-0.096931,-0.101938,0.200304
319,-0.167867,-0.114851,0.262964
320,0.393882,0.086002,0.008961
321,0.338747,0.048405,-0.004187
322,0.877844,0.374373,0.171008
323,0.740790,0.324525,0.242248
324,0.200218,0.070150,0.085891
325,0.171760,0.090531,0.102579
326,0.314263,0.126417,0.322833
327,0.313523,0.065445,0.403855
328,0.164261,0.057745,-0.005490
329,0.122141,0.024122,0.009190
330,0.308248,0.078401,0.180577
331,0.251222,0.073868,0.160457
332,-0.047526,0.023725,0.086336
333,-0.091643,0.005539,0.093179
334,0.079339,0.044135,0.206697
335,0.104213,0.011277,0.240060
336,0.226607,0.186234,-0.056881
337,0.173281,0.158131,-0.059413
338,0.339400,0.214501,0.052905
339,0.309166,0.188181,0.058028
340,0.014442,0.194715,0.048945
341,-0.028793,0.194766,0.089078
342,0.069564,0.206743,0.193568
343,0.091532,0.202786,0.269680
344,-0.071196,0.135604,-0.103744
345,-0.118288,0.152837,-0.060151
346,0.146856,0.143174,0.061789
347,0.104379,0.143672,0.056797
348,-0.541832,0.250034,-0.017602
349,-0.641583,0.278411,-0.111909
350,-0.094447,0.159393,0.164848
351,-0.113612,0.120702,0.221656
352,0.204918,-0.078894,0.075524
353,0.161232,-0.090256,0.088701
354,0.378460,-0.033687,0.309964
355,0.311701,-0.049984,0.316881
356,0.019311,-0.050048,0.212387
357,0.002473,-0.062855,0.278462
358,0.151448,-0.090652,0.410031
359,0.162778,-0.071291,0.531252
360,-0.083704,-0.076839,-0.020798
361,-0.092832,-0.043492,0.029202
362,0.136844,-0.077791,0.186493
363,0.089536,-0.086826,0.184711
364,-0.270255,-0.058858,0.173048
365,-0.350416,-0.009219,0.273260
366,-0.105248,-0.205534,0.425159
367,-0.135030,-0.197464,0.623550
368,-0.051717,0.069756,-0.043829
369,-0.081050,0.056947,-0.000205
370,0.190388,0.016366,0.145922
371,0.142662,0.002575,0.159182
372,-0.352890,0.011117,0.091040
373,-0.367374,0.056547,0.147209
374,-0.003179,0.026570,0.282541
375,-0.069934,-0.005171,0.337678
376,-0.496181,0.026464,0.019432
377,-0.690384,0.069313,-0.004175
378,-0.146138,0.046372,0.161839
379,-0.197581,0.034093,0.241003
380,-0.989567,0.040993,0.049384
381,-1.151075,0.210556,0.237374
382,-0.335366,-0.058208,0.480168
383,-0.502419,-0.093761,0.675240
384,0.862548,0.264137,-0.294905
385,0.782668,0.251324,-0.122108
386,1.597797,0.463818,-0.133153
387,1.615756,0.060653,0.084764
388,0.435588,0.209832,0.095050
389,0.431013,0.165328,0.047909
390,1.248164,0.265923,0.488086
391,1.009933,0.345440,0.473702
392,0.477017,0.194237,-0.058012
393,0.401362,0.186915,-0.054137
394,1.202158,0.284782,-0.066531
395,1.064907,0.203766,0.046383
396,0.255848,0.133398,0.046049
397,0.218680,0.128833,0.065326
398,0.490817,0.182041,0.286583
399,0.440714,0.106576,0.301120
400,0.604263,0.522925,-0.238629
401,0.526329,0.377577,-0.198100
402,1.038632,0.606242,-0.121253
403,0.995283,0.552202,0.110700
404,0.262232,0.313664,-0.086909
405,0.230835,0.273385,-0.054268
406,0.548466,0.490721,0.278201
407,0.466984,0.355859,0.289160
408,0.367137,0.236160,-0.228114
409,0.309359,0.233843,-0.171325
410,0.465268,0.276569,0.010951
411,0.378124,0.250237,0.011131
412,0.061885,0.296810,-0.011420
413,0.000125,0.350029,-0.011277
414,0.163815,0.261191,0.175863
415,0.165132,0.308797,0.227800
416,0.461418,0.052075,-0.016543
417,0.472372,0.046962,0.045746
418,0.856406,0.136415,0.245074
419,0.834616,0.003254,0.372643
420,0.337869,0.036994,0.232513
421,0.267414,0.027593,0.252779
422,0.584983,0.113046,0.583119
423,0.475406,-0.024234,0.655070
424,0.264823,-0.029292,0.004270
425,0.246071,-0.019109,0.030048
426,0.477401,0.021039,0.155448
427,0.458453,-0.043959,0.187850
428,0.067059,-0.061227,0.126904
429,0.044608,-0.034575,0.150205
430,0.191304,-0.003810,0.316776
431,0.153078,0.029915,0.361303
432,0.320704,0.178950,-0.088835
433,0.300866,0.137645,-0.056893
434,0.553442,0.162339,0.131987
435,0.490083,0.123682,0.146163
436,0.118950,0.083109,0.034052
437,0.099344,0.066212,0.054329
438,0.228325,0.122445,0.309219
439,0.172093,0.135754,0.323361
440,0.064213,0.063405,-0.058243
441,0.011906,0.088795,-0.069678
442,0.194232,0.129185,0.125708
443,0.155182,0.174013,0.144099
444,-0.217068,0.112731,0.093497
445,-0.307590,0.171146,0.110735
446,-0.014897,0.138094,0.232455
447,-0.036936,0.170135,0.279166
448,0.681886,0.437121,0.078458
449,0.548559,0.376914,0.092485
450,1.259194,0.901494,0.256085
451,1.296139,0.607949,0.302184
452,0.319619,0.307231,0.099647
453,0.287232,0.359355,0.186844
454,0.751306,0.676688,0.499386
455,0.479609,0.553030,0.560447
456,0.276377,0.214032,-0.003661
457,0.238146,0.223595,0.028806
458,0.542688,0.266205,0.171393
459,0.460188,0.283979,0.158288
460,0.057385,0.309853,0.144517
461,-0.006881,0.348152,0.097310
462,0.244434,0.247298,0.322601
463,0.253992,0.335420,0.402241
464,0.354006,0.579776,-0.130176
465,0.267043,0.461976,-0.058178
466,0.534049,0.626549,0.046747
467,0.441835,0.468260,0.057556
468,0.110477,0.628795,0.102950
469,0.031409,0.489068,0.090605
470,0.229564,0.525640,0.325454
471,0.105570,0.582151,0.509738
472,0.005690,0.521474,-0.157885
473,0.104463,0.424022,-0.080647
474,0.223784,0.389860,0.060904
475,0.159806,0.340571,0.062061
476,-0.173976,0.573425,0.027383
477,-0.376008,0.587868,0.133042
478,-0.051773,0.348339,0.231923
479,-0.122571,0.473049,0.251159
480,0.324321,0.148510,0.116006
481,0.282263,0.121730,0.114016
482,0.690108,0.256346,0.418128
483,0.542523,0.294427,0.461973
484,0.056944,0.107667,0.281797
485,0.027844,0.106858,0.355071
486,0.160456,0.177656,0.528819
487,0.227537,0.177976,0.689465
488,0.111585,0.097896,0.109244
489,0.083994,0.133245,0.115789
490,0.208740,0.142084,0.208953
491,0.156072,0.143303,0.231368
492,-0.185830,0.214347,0.309774
493,-0.311053,0.240517,0.328512
494,-0.041749,0.090901,0.511373
495,-0.156164,0.098486,0.478020
496,0.151543,0.263073,-0.033471
497,0.126322,0.213004,-0.007014
498,0.245313,0.217564,0.120210
499,0.259136,0.225542,0.176601
500,-0.190632,0.260214,0.141755
501,-0.189271,0.331768,0.170606
502,0.054763,0.294766,0.357775
503,-0.033724,0.257645,0.365069
504,-0.184971,0.396532,0.057728
505,-0.293313,0.400259,0.001123
506,-0.015219,0.232287,0.177913
507,-0.022524,0.244724,0.240753
508,-0.520342,0.347950,0.249265
509,-0.671997,0.410782,0.153434
510,-0.253089,0.412356,0.489854
511,-0.410922,0.562454,0.543891
