# AMBE-3000 halfrate_bit_allocations.csv — per-rate bit allocation (b̂_k) for AMBE+2 half-rate skeleton
# Rows 0-61: chip rate indices per DVSI AMBE-3000F manual v4.0, Appendix 7.2 (Table 119).
# Rows 62, 63: project extensions for P25 full-rate IMBE (not in chip rate-index table; invoked via RCW).
# Chip indices 33/34 are normatively populated from BABA-A §12. Chip indices 35-61 are pending empirical resolution.
# NAMING NOTE: project-wide "p25_fullrate" and "p25_halfrate" labels are P25-scoped aliases (full-rate IMBE / half-rate AMBE+2) and DO NOT equal chip rate indices 33/34. See analysis/ambe3000_rate_bit_allocation_gap.md.
# See halfrate_bit_allocations_sources.md for per-field sourcing.
rate_index,b0_pitch,b1_vuv,b2_gain,b3_prba24,b4_prba58,b5_hoc1,b6_hoc2,b7_hoc3,b8_hoc4,total_info_bits,fec_scheme,interleaver,notes
18,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,96,none,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=96 bits/frame, fec_overhead=0 bits."
19,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,128,none,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=128 bits/frame, fec_overhead=0 bits."
20,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,160,none,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=160 bits/frame, fec_overhead=0 bits."
21,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,192,none,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=192 bits/frame, fec_overhead=0 bits."
22,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48,proprietary_ambe2000,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=80 bits/frame, fec_overhead=32 bits."
23,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,72,proprietary_ambe2000,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=96 bits/frame, fec_overhead=24 bits."
24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,80,proprietary_ambe2000,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=96 bits/frame, fec_overhead=16 bits."
25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48,proprietary_ambe2000,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=96 bits/frame, fec_overhead=48 bits."
26,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,80,proprietary_ambe2000,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=128 bits/frame, fec_overhead=48 bits."
27,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,88,proprietary_ambe2000,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=144 bits/frame, fec_overhead=56 bits."
28,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,80,proprietary_ambe2000,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=160 bits/frame, fec_overhead=80 bits."
29,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48,proprietary_ambe2000,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=192 bits/frame, fec_overhead=144 bits."
30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,72,proprietary_ambe2000,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=192 bits/frame, fec_overhead=120 bits."
31,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40,none,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=40 bits/frame, fec_overhead=0 bits."
32,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,72,proprietary_ambe2000,n/a,"AMBE-2000 generation; not AMBE+2 half-rate skeleton. total=128 bits/frame, fec_overhead=56 bits. Compatible with AMBE-2000 but not in its standard rate table"
33,7,5,5,9,7,5,4,4,3,49,p25_halfrate_golay24_12+golay23_12+scramble,p25_halfrate_4x18,P25 Phase 2 half-rate AMBE+2 w/FEC. Project label: p25_halfrate. Bit fields from BABA-A §12; FEC from BABA-A §2.4 + US8595002 §3.
34,7,5,5,9,7,5,4,4,3,49,none,none,AMBE+2 half-rate no-FEC. Same bit fields as chip 33; total_bits = info_bits = 49. Inherits BABA-A §12 allocation.
35,pending,pending,pending,pending,pending,pending,pending,pending,pending,45,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=68 bits/frame, fec_overhead=23 bits."
36,pending,pending,pending,pending,pending,pending,pending,pending,pending,45,none,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=45 bits/frame, fec_overhead=0 bits."
37,pending,pending,pending,pending,pending,pending,pending,pending,pending,48,none,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=48 bits/frame, fec_overhead=0 bits."
38,pending,pending,pending,pending,pending,pending,pending,pending,pending,60,none,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=60 bits/frame, fec_overhead=0 bits."
39,pending,pending,pending,pending,pending,pending,pending,pending,pending,72,none,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=72 bits/frame, fec_overhead=0 bits."
40,pending,pending,pending,pending,pending,pending,pending,pending,pending,80,none,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=80 bits/frame, fec_overhead=0 bits."
41,pending,pending,pending,pending,pending,pending,pending,pending,pending,88,none,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=88 bits/frame, fec_overhead=0 bits."
42,pending,pending,pending,pending,pending,pending,pending,pending,pending,96,none,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=96 bits/frame, fec_overhead=0 bits."
43,pending,pending,pending,pending,pending,pending,pending,pending,pending,128,none,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=128 bits/frame, fec_overhead=0 bits."
44,pending,pending,pending,pending,pending,pending,pending,pending,pending,144,none,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=144 bits/frame, fec_overhead=0 bits."
45,pending,pending,pending,pending,pending,pending,pending,pending,pending,160,none,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=160 bits/frame, fec_overhead=0 bits."
46,pending,pending,pending,pending,pending,pending,pending,pending,pending,192,none,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=192 bits/frame, fec_overhead=0 bits."
47,pending,pending,pending,pending,pending,pending,pending,pending,pending,49,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=54 bits/frame, fec_overhead=5 bits."
48,pending,pending,pending,pending,pending,pending,pending,pending,pending,67,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=72 bits/frame, fec_overhead=5 bits."
49,pending,pending,pending,pending,pending,pending,pending,pending,pending,75,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=80 bits/frame, fec_overhead=5 bits."
50,pending,pending,pending,pending,pending,pending,pending,pending,pending,91,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=96 bits/frame, fec_overhead=5 bits."
51,pending,pending,pending,pending,pending,pending,pending,pending,pending,49,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=88 bits/frame, fec_overhead=39 bits."
52,pending,pending,pending,pending,pending,pending,pending,pending,pending,49,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=96 bits/frame, fec_overhead=47 bits."
53,pending,pending,pending,pending,pending,pending,pending,pending,pending,49,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=120 bits/frame, fec_overhead=71 bits."
54,pending,pending,pending,pending,pending,pending,pending,pending,pending,49,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=144 bits/frame, fec_overhead=95 bits."
55,pending,pending,pending,pending,pending,pending,pending,pending,pending,52,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=80 bits/frame, fec_overhead=28 bits."
56,pending,pending,pending,pending,pending,pending,pending,pending,pending,72,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=96 bits/frame, fec_overhead=24 bits."
57,pending,pending,pending,pending,pending,pending,pending,pending,pending,80,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=96 bits/frame, fec_overhead=16 bits."
58,pending,pending,pending,pending,pending,pending,pending,pending,pending,80,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=128 bits/frame, fec_overhead=48 bits."
59,pending,pending,pending,pending,pending,pending,pending,pending,pending,88,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=144 bits/frame, fec_overhead=56 bits."
60,pending,pending,pending,pending,pending,pending,pending,pending,pending,80,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=160 bits/frame, fec_overhead=80 bits."
61,pending,pending,pending,pending,pending,pending,pending,pending,pending,72,pending,pending,"AMBE+2 half-rate-family variant; per-field bit widths not in public sources (DVSI manual total/speech/fec only; US8595002 gives codebook structure but not per-rate widths). Empirical resolution via blip25-mbe DVSI vector characterization. total=192 bits/frame, fec_overhead=120 bits."
62,8,L-dependent,6,L-dependent,L-dependent,L-dependent,L-dependent,L-dependent,L-dependent,88,p25_fullrate_4xgolay23_12+3xhamming15_11+7uncoded+1parity,baba_a_annex_h,"P25 Phase 1 full-rate IMBE w/FEC. Project label: p25_fullrate. Not in AMBE-3000 chip rate-index table 7.2 (Appendix 7.2); invoked via RCW 0x0558 0x086B 0x1030. L-dependent widths: see annex_f_gain_allocation.csv (gain) and annex_g_hoc_allocation.csv (HOC) in BABA-A. FEC: 4x[23,12] Golay (u0-u3) + 3x[15,11] Hamming (u4-u6) + 7 uncoded (u7) + 1 parity (BABA-A §6)."
63,8,L-dependent,6,L-dependent,L-dependent,L-dependent,L-dependent,L-dependent,L-dependent,88,none,none,P25 full-rate IMBE no-FEC. Project label: p25_fullrate-nofec. RCW 0x0558 0x086B 0x0000. Same bit fields as chip 62 row.
