# AMBE-3000 multi_subframe_rates.csv — subframe count per chip rate index
# Columns: rate_index, subframes_per_frame (1 | 2 | pending), source, notes
# Rows 0-61: chip rate indices per DVSI AMBE-3000F manual v4.0, Appendix 7.2.
# Rows 62, 63: project extensions for P25 full-rate IMBE (see halfrate_bit_allocations.csv).
# Single-subframe is confirmed only for P25 rates (chip 33/34, project 62/63). Others pending.
# See multi_subframe_rates_sources.md and analysis/ambe3000_multi_subframe_rate_mapping.md.
rate_index,subframes_per_frame,source,notes
19,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
20,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
21,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
22,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
23,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
24,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
25,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
26,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
27,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
28,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
29,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
30,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
31,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
32,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
33,1,BABA-A §2 / §12,AMBE+2 half-rate (P25 Phase 2); 20 ms frames per BABA-A normative spec.
34,1,BABA-A §2 / §12,AMBE+2 half-rate (P25 Phase 2); 20 ms frames per BABA-A normative spec.
35,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
36,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
37,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
38,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
39,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
40,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
41,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
42,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
43,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
44,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
45,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
46,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
47,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
48,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
49,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
50,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
51,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
52,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
53,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
54,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
55,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
56,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
57,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
58,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
59,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
60,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
61,pending,not in public sources,AMBE-3000F User Manual Appendix 7.2/7.3 does not enumerate subframes_per_frame. US6199037 describes the joint-quantization algorithm but does not identify which chip rate indices use it. Empirical resolution via blip25-mbe characterization against DVSI test vectors.
62,1,BABA-A §1,P25 full-rate IMBE w/ FEC; 20 ms frames per BABA-A normative spec. Project extension row (not in chip rate-index table).
63,1,BABA-A §1,P25 full-rate IMBE no FEC; 20 ms frames per BABA-A normative spec. Project extension row (not in chip rate-index table).
